station,stationNumber
16th & Q St SE / Anacostia HS,31812
7th & F St NW/Portrait Gallery,31232
Smithsonian-National Mall / Jefferson Dr & 12th St SW,31248
12th St & Pennsylvania Ave SE,31644
6th & K St NE,31645
Madison & Fairfax St,31918
Reston Station,32215
4th & Kennedy St NW,31403
10th & G St NW,31274
Tysons West Transit Center,32208
22nd St & Constitution Ave NW,31292
Greensboro & International Dr,32221
Tysons Corner Station,32204
N Lynn St & Fairfax Dr,31917
Sunset Hills & Old Reston Ave,32213
3rd St & Riggs Rd NE,31412
Carlin Springs Rd & N Thomas St,31919
Reston Town Center Transit Station,32214
Reston YMCA,32219
Sligo Ave & Carroll Ln,32058
Town Center Pkwy & Bowman Towne Dr,32210
Westpark & Park Run Dr,32207
New Dominion Pkwy & Fountain Dr,32212
Library St & Freedom Dr,32216
Temporary Rd & Old Reston Ave,32218
Westpark Dr & Leesburg Pike,32201
Westpark & Jones Branch Dr,32205
61st St & Banks Pl NE,31714
Towers Crescent Dr & Tysons One Pl,32222
Spring Hill Metro,32200
Jones Branch & Westbranch Dr,32206
Solutions & Greensboro Dr,32202
Reston Regional Library,32211
15th & W St NW,31125
31st & Water St NW,31293
7th & E St SW,31294
Wheaton Metro/Georgia Ave & Reedie Dr,32062
Barcroft Community Center,31033
18th & Monroe St NE,31521
Grandview & Blueridge Ave,32065
Georgia Ave & Piney Branch Rd NW,31414
Sunset Hills Rd & Discovery Square,32217
New Hampshire & Kirklynn Ave,32061
Amherst Ave & Elkins St,32063
3rd & Underwood St NW,31413
Tysons One Pl & Chain Bridge Rd,32203
North Shore Dr & Village Rd,32223
North Shore & Cameron Crescent Dr/Crescent Apartments,32209
Amherst Ave & Prichard Rd,32064
Windham Ln & Amherst Ave,32066
Pooks Hill Rd & Linden Ave,32057
Takoma Park Rec Center,32059
