year,month,day,year,index,max_temp,min_temp,wind_speed,wind_temp,rain,hum,visibility,clouds,chaleur_index,rosee,pressure,sunrise,sunset,holiday,weekday,workday,avg_temp,string_date,atemp,wkday,casual,registered,cnt,wkday_sin,wkday_cos,sunrise_sin,sunrise_cos,sunset_sin,sunset_cos,mnth_sin,mnth_cos,light,missing_rain,mean_rain
2014,12,18,2014,2014-12-18,5.0,-1.0,6.666666666666666,-6.0,4.076923076923077,0.67,10.0,11.0,5.0,0.0,1022.0,7.0,16.0,0.0,3.0,1.0,2.0,2014/12/18,0.034923127648824215,3,241,6129,6370,0.43388373911755823,-0.900968867902419,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,True,4.076923076923077
2014,12,19,2014,2014-12-19,6.0,-1.0,5.833333333333332,-5.0,4.076923076923077,0.7,10.0,17.0,6.0,0.0,1025.0,7.0,16.0,0.0,4.0,1.0,2.5,2014/12/19,0.9114272693940508,4,308,5610,5918,-0.433883739117558,-0.9009688679024191,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,True,4.076923076923077
2014,12,20,2014,2014-12-20,6.0,-1.0,2.5,-4.0,4.076923076923077,0.7,10.0,23.0,6.0,0.0,1026.0,7.0,16.0,0.0,5.0,1.0,2.5,2014/12/20,2.6562134317976023,5,442,3447,3889,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,True,4.076923076923077
2014,12,21,2014,2014-12-21,8.0,-1.0,1.1111111111111112,-1.0,0.0,0.76,10.0,12.0,8.0,1.0,1028.0,7.0,16.0,0.0,6.0,0.0,3.5,2014/12/21,5.1432960096926434,6,622,2997,3619,-0.7818314824680299,0.6234898018587334,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
2014,12,22,2014,2014-12-22,3.0,0.0,2.5,-3.0,7.0,0.75,7.375,70.0,3.0,1.0,1027.0,7.0,16.0,0.0,0.0,0.0,1.5,2014/12/22,1.5756067716225075,0,155,2846,3001,0.0,1.0,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
2014,12,23,2014,2014-12-23,10.0,4.0,1.6666666666666663,3.0,2.0,0.99,2.5,92.0,10.0,9.0,1019.0,7.0,16.0,0.0,1.0,1.0,7.0,2014/12/23,8.144048935213617,1,224,3531,3755,0.7818314824680298,0.6234898018587336,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
2014,12,24,2014,2014-12-24,14.0,8.0,3.333333333333333,7.0,25.0,0.99,7.125,100.0,14.0,17.0,1017.0,7.0,16.0,0.0,2.0,1.0,11.0,2014/12/24,11.459107541767626,2,57,1167,1224,0.9749279121818236,-0.22252093395631434,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
2014,12,25,2014,2014-12-25,15.0,8.0,6.9444444444444455,4.0,7.0,0.78,9.25,30.0,15.0,14.0,1024.0,7.0,16.0,1.0,3.0,0.0,11.5,2014/12/25,10.98132746985551,3,779,883,1662,0.43388373911755823,-0.900968867902419,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
2014,12,26,2014,2014-12-26,11.0,4.0,2.7777777777777777,1.0,0.0,0.88,10.0,14.0,11.0,5.0,1027.0,7.0,16.0,0.0,4.0,1.0,7.5,2014/12/26,7.893967086476416,4,1170,1778,2948,-0.433883739117558,-0.9009688679024191,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
2014,12,27,2014,2014-12-27,13.0,3.0,1.9444444444444444,1.0,0.0,0.88,10.0,10.0,13.0,7.0,1026.0,7.0,16.0,0.0,5.0,1.0,8.0,2014/12/27,8.973672212349728,5,2151,2068,4219,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,9.0,False,4.076923076923077
